customer_id,home_location,typical_amount,daily_frequency,preferred_merchants
C0233,Hyderabad,1596.06,2,"['Myntra', 'H&M']"
C0234,Mumbai,4234.18,5,"['H&M', 'Myntra']"
C0235,Pune,1978.52,2,"['Myntra', 'Amazon']"
C0236,Bengaluru,4362.83,2,"['Max', 'Flipkart']"
C0237,Bengaluru,4093.31,1,"['Amazon', 'Max']"
C0238,Delhi,2112.09,2,"['Myntra', 'Spar']"
C0239,Delhi,1284.11,1,"['Max', 'Big Chill']"
C0240,Mumbai,3855.49,4,"['Burger King', 'Spar']"
C0241,Mumbai,2534.02,2,"['Myntra', 'Amazon']"
C0242,Bengaluru,2561.19,1,"['Amazon', 'Burger King']"
C0243,Chennai,2418.23,1,"['Burger King', 'Myntra']"
C0244,Mumbai,4546.7,3,"['Myntra', 'Max']"
C0245,Mumbai,1067.86,5,"['Myntra', 'Flipkart']"
C0246,Hyderabad,2214.07,5,"['Flipkart', 'Zara']"
C0247,Kolkata,2774.98,4,"['Reliance', 'Myntra']"
C0248,Pune,2435.31,2,"['Big Chill', 'Spar']"
C0249,Kolkata,2294.29,6,"['Reliance', 'Spar']"
C0250,Chennai,1906.36,3,"['Spar', 'Max']"
C0251,Kolkata,802.1,1,"['Reliance', 'Big Chill']"
C0252,Mumbai,3850.65,3,"['Max', 'Flipkart']"
C0253,Delhi,3139.09,5,"['Flipkart', 'Spar']"
C0254,Mumbai,2348.64,6,"['Big Chill', 'Amazon']"
C0255,Bengaluru,3201.85,3,"['Reliance', 'Flipkart']"
C0256,Pune,1196.29,4,"['H&M', 'Reliance']"
C0257,Hyderabad,4304.18,3,"['Reliance', 'Zara']"
C0258,Pune,4132.5,5,"['Myntra', 'Flipkart']"
C0259,Delhi,3240.48,6,"['Zara', 'Amazon']"
C0260,Goa,1729.72,3,"['Spar', 'Myntra']"
C0261,Delhi,1316.33,2,"['Myntra', 'Big Chill']"
C0262,Mumbai,1138.44,6,"['Amazon', 'Reliance']"
C0263,Pune,2192.87,4,"['Spar', 'Max']"
C0264,Hyderabad,1902.37,3,"['Myntra', 'Reliance']"
C0265,Delhi,1200.11,5,"['Amazon', 'Reliance']"
C0266,Bengaluru,2494.01,4,"['Burger King', 'Myntra']"
C0267,Chennai,1729.25,5,"['Reliance', 'Spar']"
C0268,Chennai,999.0,6,"['Myntra', 'Burger King']"
C0269,Bengaluru,704.38,4,"['Myntra', 'Amazon']"
C0270,Delhi,1419.9,2,"['Max', 'Zara']"
C0271,Bengaluru,1976.55,1,"['Burger King', 'Big Chill']"
C0272,Goa,1081.34,5,"['H&M', 'Flipkart']"
C0273,Hyderabad,824.34,6,"['Amazon', 'Big Chill']"
C0274,Delhi,2568.89,1,"['Spar', 'Big Chill']"
C0275,Chennai,3692.75,4,"['Zara', 'Reliance']"
C0276,Chennai,593.85,3,"['Max', 'Burger King']"
C0277,Hyderabad,896.58,1,"['H&M', 'Big Chill']"
C0278,Chennai,2857.83,4,"['Zara', 'Spar']"
C0279,Pune,1998.81,2,"['Reliance', 'Flipkart']"
C0280,Mumbai,2887.72,2,"['Spar', 'Myntra']"
C0281,Goa,1563.21,2,"['Zara', 'H&M']"
C0282,Goa,3210.8,6,"['Reliance', 'Max']"
C0283,Kolkata,2587.79,5,"['Myntra', 'Burger King']"
C0284,Hyderabad,4389.11,6,"['Spar', 'Max']"
C0285,Kolkata,807.29,4,"['Zara', 'Myntra']"
C0286,Delhi,2083.74,1,"['Zara', 'Burger King']"
C0287,Kolkata,669.23,3,"['Zara', 'Reliance']"
C0288,Mumbai,3267.54,5,"['Big Chill', 'Burger King']"
C0289,Delhi,2523.8,5,"['H&M', 'Spar']"
C0290,Kolkata,2756.15,1,"['Burger King', 'Reliance']"
C0291,Hyderabad,4920.74,1,"['Flipkart', 'Max']"
C0292,Delhi,1614.85,4,"['Burger King', 'Flipkart']"
C0293,Goa,2137.54,3,"['Big Chill', 'Myntra']"
C0294,Hyderabad,3555.04,1,"['Spar', 'Reliance']"
C0295,Hyderabad,925.28,6,"['Big Chill', 'Zara']"
C0296,Bengaluru,3756.8,6,"['Myntra', 'Max']"
C0297,Hyderabad,866.76,6,"['Max', 'Spar']"
C0298,Bengaluru,4854.63,6,"['Big Chill', 'Max']"
C0299,Mumbai,1893.12,4,"['Spar', 'Max']"
C0300,Mumbai,3407.11,4,"['Flipkart', 'Spar']"
C0301,Delhi,2131.69,2,"['H&M', 'Spar']"
C0302,Kolkata,1364.02,2,"['Max', 'Reliance']"
C0303,Bengaluru,4299.93,1,"['Flipkart', 'Myntra']"
C0304,Delhi,3478.68,5,"['Max', 'Big Chill']"
C0305,Goa,1230.11,6,"['Myntra', 'Max']"
C0306,Kolkata,696.62,3,"['H&M', 'Burger King']"
C0307,Bengaluru,3885.76,4,"['H&M', 'Flipkart']"
C0308,Pune,1892.61,4,"['H&M', 'Spar']"
C0309,Kolkata,2577.56,3,"['Big Chill', 'Flipkart']"
C0310,Chennai,4848.21,2,"['Myntra', 'Max']"
C0311,Bengaluru,734.81,4,"['Spar', 'Flipkart']"
C0312,Mumbai,3701.3,5,"['Reliance', 'Zara']"
C0313,Mumbai,3934.03,3,"['Burger King', 'Flipkart']"
C0314,Goa,4239.71,1,"['H&M', 'Burger King']"
C0315,Hyderabad,4687.12,4,"['Amazon', 'Big Chill']"
C0316,Hyderabad,1561.0,1,"['Spar', 'H&M']"
C0317,Delhi,1934.08,1,"['Spar', 'Max']"
C0318,Goa,672.36,4,"['Max', 'Burger King']"
C0319,Kolkata,3269.07,1,"['Amazon', 'Zara']"
C0320,Pune,4257.33,5,"['Myntra', 'Flipkart']"
C0321,Chennai,1000.34,3,"['H&M', 'Zara']"
C0322,Mumbai,714.87,4,"['Myntra', 'Burger King']"
C0323,Mumbai,998.86,4,"['Myntra', 'Flipkart']"
C0324,Delhi,3343.8,5,"['H&M', 'Max']"
C0325,Bengaluru,2431.58,5,"['Spar', 'H&M']"
C0326,Chennai,1342.91,6,"['Reliance', 'Flipkart']"
C0327,Hyderabad,804.56,5,"['Flipkart', 'Myntra']"
C0328,Delhi,2257.04,4,"['Amazon', 'Big Chill']"
C0329,Hyderabad,1641.43,1,"['Spar', 'Reliance']"
C0330,Hyderabad,1585.07,6,"['Reliance', 'Spar']"
C0331,Goa,699.51,5,"['Spar', 'Max']"
C0332,Kolkata,4913.69,4,"['Max', 'Myntra']"
C0333,Mumbai,3722.2,4,"['Amazon', 'Zara']"
C0334,Pune,697.13,2,"['Amazon', 'Spar']"
C0335,Bengaluru,2819.23,5,"['Burger King', 'Zara']"
C0336,Delhi,3889.81,2,"['Zara', 'Spar']"
C0337,Delhi,4396.09,3,"['Zara', 'Reliance']"
C0338,Hyderabad,2466.28,4,"['Burger King', 'Big Chill']"
C0339,Hyderabad,4881.76,4,"['Burger King', 'Spar']"
C0340,Bengaluru,4105.17,6,"['Big Chill', 'Reliance']"
C0341,Chennai,3211.04,2,"['Flipkart', 'Zara']"
C0342,Hyderabad,961.69,3,"['Zara', 'Myntra']"
C0343,Kolkata,3211.8,4,"['Max', 'Burger King']"
C0344,Hyderabad,2512.08,6,"['Spar', 'Big Chill']"
C0345,Bengaluru,3377.61,1,"['Reliance', 'Big Chill']"
C0346,Hyderabad,2808.89,6,"['Max', 'Amazon']"
C0347,Goa,4319.01,6,"['Burger King', 'Amazon']"
C0348,Goa,802.55,6,"['Spar', 'Myntra']"
C0349,Chennai,4772.6,1,"['Myntra', 'Max']"
C0350,Kolkata,4769.71,3,"['Burger King', 'Reliance']"
C0351,Goa,2882.57,4,"['Spar', 'Zara']"
C0352,Pune,4822.34,1,"['Max', 'Burger King']"
C0353,Chennai,4610.94,1,"['Zara', 'Myntra']"
C0354,Kolkata,1465.57,5,"['Zara', 'Burger King']"
C0355,Pune,1051.87,1,"['Burger King', 'Max']"
C0356,Kolkata,4987.68,6,"['Spar', 'Myntra']"
C0357,Mumbai,2974.99,3,"['Zara', 'Max']"
C0358,Goa,4071.63,5,"['H&M', 'Reliance']"
C0359,Pune,4064.3,2,"['Burger King', 'Amazon']"
C0360,Hyderabad,2993.1,3,"['Burger King', 'Flipkart']"
C0361,Goa,3253.77,1,"['Reliance', 'Zara']"
C0362,Chennai,4998.18,6,"['Burger King', 'Flipkart']"
C0363,Chennai,3961.24,5,"['Reliance', 'Max']"
C0364,Hyderabad,3390.52,4,"['Burger King', 'Flipkart']"
C0365,Hyderabad,1077.51,5,"['Myntra', 'Max']"
C0366,Goa,2446.78,1,"['Reliance', 'Flipkart']"
C0367,Goa,1868.56,2,"['Spar', 'H&M']"
C0368,Hyderabad,4763.67,5,"['Zara', 'Reliance']"
C0369,Bengaluru,1383.36,5,"['Zara', 'Max']"
C0370,Bengaluru,3264.93,1,"['Flipkart', 'Max']"
C0371,Goa,1270.4,5,"['Myntra', 'Spar']"
C0372,Delhi,4213.56,1,"['Reliance', 'Amazon']"
C0373,Bengaluru,3430.08,5,"['Big Chill', 'Amazon']"
C0374,Kolkata,4500.49,5,"['Zara', 'Myntra']"
C0375,Kolkata,1601.95,6,"['Big Chill', 'Zara']"
C0376,Kolkata,828.38,1,"['Max', 'Burger King']"
C0377,Chennai,2679.13,2,"['Spar', 'Max']"
C0378,Hyderabad,4376.68,3,"['Spar', 'Big Chill']"
C0379,Goa,3922.99,5,"['Flipkart', 'Reliance']"
C0380,Hyderabad,1587.82,1,"['Zara', 'Burger King']"
C0381,Pune,1133.95,1,"['Zara', 'Big Chill']"
C0382,Chennai,1617.22,2,"['Spar', 'Myntra']"
C0383,Pune,3934.05,4,"['Flipkart', 'Burger King']"
C0384,Kolkata,4455.84,4,"['Amazon', 'Reliance']"
C0385,Chennai,2774.5,2,"['H&M', 'Spar']"
C0386,Delhi,727.43,4,"['Myntra', 'Burger King']"
C0387,Bengaluru,2915.11,1,"['Big Chill', 'Max']"
C0388,Bengaluru,3773.79,4,"['Spar', 'Amazon']"
C0389,Chennai,730.21,5,"['H&M', 'Spar']"
C0390,Bengaluru,830.89,5,"['Burger King', 'Flipkart']"
C0391,Bengaluru,4213.9,5,"['Myntra', 'Reliance']"
C0392,Goa,4887.87,4,"['Spar', 'Myntra']"
C0393,Hyderabad,3897.34,2,"['Myntra', 'Flipkart']"
C0394,Chennai,2750.35,1,"['Amazon', 'Max']"
C0395,Hyderabad,4117.85,5,"['Burger King', 'Max']"
C0396,Goa,1975.85,5,"['Spar', 'Max']"
C0397,Chennai,4957.77,6,"['Zara', 'Spar']"
C0398,Kolkata,3689.33,3,"['Burger King', 'Amazon']"
C0399,Hyderabad,1990.58,1,"['Big Chill', 'Zara']"
C0400,Delhi,3186.09,3,"['Myntra', 'H&M']"
C0401,Delhi,3125.85,2,"['Flipkart', 'Big Chill']"
C0402,Goa,4197.48,2,"['Amazon', 'Reliance']"
C0403,Pune,585.22,3,"['Big Chill', 'Max']"
C0404,Chennai,3607.25,4,"['Flipkart', 'Burger King']"
C0405,Delhi,3675.99,5,"['H&M', 'Flipkart']"
C0406,Hyderabad,4991.55,4,"['Flipkart', 'Big Chill']"
C0407,Hyderabad,4805.08,4,"['Flipkart', 'Spar']"
C0408,Hyderabad,3541.41,6,"['Zara', 'Burger King']"
C0409,Pune,4808.02,3,"['Flipkart', 'Zara']"
C0410,Pune,4736.68,3,"['Zara', 'H&M']"
C0411,Kolkata,1926.68,3,"['Flipkart', 'Zara']"
C0412,Bengaluru,1048.43,6,"['Flipkart', 'Big Chill']"
C0413,Chennai,4182.7,2,"['Zara', 'Amazon']"
C0414,Bengaluru,4798.91,1,"['Spar', 'Burger King']"
C0415,Bengaluru,3863.02,2,"['H&M', 'Flipkart']"
C0416,Bengaluru,4698.61,6,"['Zara', 'Max']"
C0417,Mumbai,3270.55,5,"['H&M', 'Myntra']"
C0418,Delhi,3514.25,5,"['H&M', 'Myntra']"
C0419,Delhi,950.89,3,"['Burger King', 'Reliance']"
C0420,Goa,523.32,5,"['Max', 'Big Chill']"
C0421,Kolkata,2648.52,2,"['Zara', 'Spar']"
C0422,Bengaluru,3406.54,1,"['Myntra', 'H&M']"
C0423,Delhi,4609.53,2,"['Big Chill', 'Max']"
C0424,Delhi,4987.27,4,"['Burger King', 'Max']"
C0425,Bengaluru,4445.34,1,"['Zara', 'Reliance']"
C0426,Hyderabad,1780.53,6,"['Flipkart', 'Myntra']"
C0427,Kolkata,4501.67,2,"['Flipkart', 'Burger King']"
C0428,Bengaluru,1367.65,1,"['Spar', 'Max']"
C0429,Kolkata,3417.28,6,"['Max', 'Amazon']"
C0430,Hyderabad,4058.45,5,"['H&M', 'Max']"
C0431,Chennai,4221.45,5,"['Spar', 'Reliance']"
C0432,Chennai,3511.65,2,"['Max', 'Burger King']"
C0433,Hyderabad,4711.21,1,"['Zara', 'Big Chill']"
C0434,Pune,2510.31,3,"['Spar', 'Zara']"
C0435,Delhi,1676.99,3,"['H&M', 'Amazon']"
C0436,Mumbai,2594.28,2,"['Big Chill', 'Flipkart']"
C0437,Bengaluru,3606.31,6,"['Zara', 'Spar']"
